,No Rain #1,No Rain #2,Low Tide,No Stone Enbankment
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.00010236462278636504,0.0,0.0,0.0
5,0.00010236462278636504,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.00022067747986317997,0.0,0.0041928721174004195,0.0
8,0.0003528166529460191,0.0,0.014583088321768788,0.0
9,0.0004704222039280254,0.0,0.03376470588235294,0.0
10,0.0004704222039280254,0.0,0.04460922787193974,0.0
11,0.0008233356857210068,0.0,0.039321874264186485,0.0
12,0.0005887201224537854,0.0,0.024605603955733458,0.0
13,0.0008244994110718492,0.0,0.016725559481743226,0.0
14,0.0009724079251245898,0.0,0.015558526801993437,0.0
15,0.001097962669269245,0.0,0.030742954739538857,0.0
16,0.0009759668171282176,0.0,0.048066365743564717,0.0
17,0.001219958521410272,0.0,0.05991458206223307,0.0
18,0.001026694045174538,0.0,0.07155704008221994,0.0
19,0.001026694045174538,0.0,0.08105330764290301,0.0
20,0.0015402387370042356,0.0,0.08311954848640328,0.0
21,0.002054178970342791,0.0,0.08119548486403284,0.0
22,0.002696109898574913,0.0,0.07403598971722365,0.0
23,0.00243871133359004,0.0,0.06366559485530547,0.0
24,0.003976398152898923,0.0,0.05260450160771704,0.0
25,0.0033350436121087736,0.0,0.0397427652733119,0.0
26,0.005138086062941554,0.0,0.03332475553268142,0.0
27,0.005908798972382788,0.0,0.03860010293360782,0.0
28,0.004755784061696658,0.0,0.057385486361296964,0.0
29,0.007274028142141665,0.0,0.09283756405672744,0.0
30,0.006551518761167362,0.0,0.11230201262355603,0.0
31,0.00798094103633115,0.0,0.1258633007859014,0.0
32,0.00821917808219178,0.0,0.13297619047619047,0.0
33,0.009291244788564622,0.0,0.1173037989758247,0.0
34,0.009411484393614486,0.0,0.09658211265928308,0.0
35,0.008691510894154066,0.0,0.08441791044776119,0.0
36,0.006783291681542306,0.0,0.06183597946758983,0.0
37,0.006922067072443012,0.0,0.039030794939126284,0.0
38,0.007877775125328241,0.0,0.02386634844868735,0.0
39,0.009921109251733206,0.0,0.035722819593787335,0.0
40,0.012177650429799427,0.0,0.05422544325093827,0.0
41,0.013845786583910242,0.0,0.08231628148532849,0.0
42,0.012884753042233358,0.0,0.10620618021293171,0.0
43,0.0139618138424821,0.0,0.13443304325237043,0.0
44,0.01324582338902148,0.0,0.15212586139643738,0.0
45,0.012641621943947525,0.0,0.16339274099128398,0.0
46,0.01299165673420739,0.0,0.15240328253223914,0.0
47,0.011318956273084713,0.0,0.14077163712200208,0.0
48,0.011676396997497914,0.0,0.13626889004689943,0.0
49,0.012513407222023596,0.0,0.12273379418286161,0.0
50,0.011676396997497914,0.0,0.09847397939220034,0.0
51,0.011916110581506196,0.0,0.08464849354375897,0.0
52,0.016100178890876567,0.0,0.0926892950391645,0.0
53,0.0159447881960971,0.0,0.11762402088772846,0.0
54,0.017360285374554103,0.0,0.1443864229765013,0.0
55,0.01890831252229754,0.0,0.16914643696162882,0.0
56,0.016648828635985255,0.0,0.19498825371965545,0.0
57,0.015667655786350147,0.0,0.20882276168102323,0.0
58,0.01543393090347857,0.0,0.18767945706081962,0.0
59,0.01115991926866912,0.0,0.17188723570869224,0.0
60,0.01044138585666825,0.0,0.15609501435656487,0.0
61,0.01269577598481253,0.0,0.1294701122422344,0.0
62,0.011509254864736593,0.0,0.09618898459932132,0.0
63,0.012316715542521995,0.0,0.08001551189245087,0.0
64,0.010796854829245394,0.0,0.08402275077559462,0.0
65,0.011618354653209716,0.0,0.1063857290589452,0.0
66,0.011026392961876833,0.0,0.13042916235780766,0.0
67,0.011026392961876833,0.0,0.1593846949327818,0.0
68,0.012187976092816126,0.0,0.19493278179937953,0.0
69,0.013828665182233682,0.0,0.21884694932781798,0.0
70,0.01406304933786476,0.0,0.23021210553543714,0.0
71,0.01406304933786476,0.0,0.2160134523347562,0.0
72,0.01335676625659051,0.0,0.20494562402900052,0.0
73,0.014059753954305799,0.0,0.1964262592256895,0.0
74,0.013708260105448155,0.0,0.18013468013468015,0.0
75,0.013713080168776372,0.0,0.15138565138565138,0.0
76,0.014302461899179367,0.0,0.144706186901372,0.0
77,0.014185228604923798,0.0,0.16200828157349897,0.0
78,0.014419695193434936,0.0,0.18128881987577639,0.0
79,0.013599062133645956,0.0,0.20613354037267081,0.0
80,0.015359362176105054,0.0,0.2418478260869565,0.0
81,0.013542249580302182,0.0,0.2687507878482289,0.0
82,0.01208729714605484,0.0,0.27215429219715115,0.0
83,0.013989927252378288,0.0,0.2495584153419127,0.0
84,0.011303861219921656,0.0,0.2322735301539238,0.0
85,0.013094571908226077,0.0,0.2157456472369417,0.0
86,0.01498378620149838,0.0,0.18874589957103205,0.0
87,0.014536509001453651,0.0,0.15871814282109514,0.0
88,0.013415315818893237,0.0,0.1452182689881403,0.0
89,0.014530010059237734,0.0,0.16225082008579358,0.0
90,0.013412316977757908,0.0,0.18224240131164082,0.0
91,0.014194702134793786,0.0,0.20653545293969217,0.0
92,0.012406393204426065,0.0,0.2342251388187784,0.0
93,0.012629931820722029,0.0,0.26542197552668095,0.0
