,No Rain #1,No Rain #2,Low Tide,No Stone Enbankment
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.00010236462278636504,0.0
6,0.0,0.0,0.0005118231139318251,0.0
7,0.0,0.0,0.0009930486593843098,0.0
8,0.0,0.0,0.0007056333058920382,0.0
9,0.0,0.0,0.0018823529411764706,0.0
10,0.0,0.0,0.006826741996233522,0.0
11,0.0,0.0,0.013774429008712032,0.0
12,0.0,0.0,0.031198493053920414,0.0
13,0.00023557126030624264,0.0,0.04169611307420495,0.0
14,0.00036465297192172114,0.0,0.04509541752765285,0.0
15,0.000609979260705136,0.0,0.030254971330974746,0.0
16,0.0007319751128461632,0.0,0.014273514700500183,0.0
17,0.001097962669269245,0.0,0.008663819402074436,0.0
18,0.001026694045174538,0.0,0.007194244604316547,0.0
19,0.0017967145790554414,0.0,0.009633911368015413,0.0
20,0.002952124245924785,0.0,0.016418676244227808,0.0
21,0.002696109898574913,0.0,0.02744997434581837,0.0
22,0.003723199383746309,0.0,0.04652956298200514,0.0
23,0.004364009754845334,0.0,0.06508038585209003,0.0
24,0.003976398152898923,0.0,0.07961414790996785,0.0
25,0.0055156490507952795,0.0,0.09389067524115756,0.0
26,0.005908798972382788,0.0,0.10563561502830675,0.0
27,0.007578676942838793,0.0,0.10756562017498714,0.0
28,0.008740359897172237,0.0,0.09315491507977354,0.0
29,0.011805389935606965,0.0,0.09021570730544631,0.0
30,0.01405598570577725,0.0,0.07478861498154103,0.0
31,0.01405598570577725,0.0,0.0638247201714694,0.0
32,0.015604526503871351,0.0,0.05821428571428571,0.0
33,0.02251340083382966,0.0,0.07574133619149696,0.0
34,0.0334762925899452,0.0,0.10265571037275217,0.0
35,0.04214787474699369,0.0,0.11653731343283583,0.0
36,0.04629299059859574,0.0,0.14122000716246866,0.0
37,0.047499701635039984,0.0,0.17259489138219145,0.0
38,0.05216042014800668,0.0,0.19653937947494032,0.0
39,0.055343055223523785,0.0,0.1933094384707288,0.0
40,0.0561127029608405,0.0,0.14365212889866702,0.0
41,0.06910957269037957,0.0,0.12230589457283822,0.0
42,0.08291577189214984,0.0,0.10075305115554402,0.0
43,0.09260143198090692,0.0,0.07780231198856995,0.0
44,0.1184964200477327,0.0,0.06384085294500065,0.0
45,0.14311270125223613,0.0,0.05697931572785222,0.0
46,0.14517282479141835,0.0,0.07528982675524293,0.0
47,0.1469081377338258,0.0,0.09045881126173097,0.0
48,0.15060169188609557,0.0,0.10317873892652424,0.0
49,0.14158026456918127,0.0,0.1179079170470849,0.0
50,0.15941856308828786,0.0,0.14203730272596843,0.0
51,0.1892278360343184,0.0,0.16029737837485328,0.0
52,0.2019081693500298,0.0,0.1510443864229765,0.0
53,0.199428843407901,0.0,0.1279373368146214,0.0
54,0.20332936979785968,0.0,0.10078328981723238,0.0
55,0.20763467713164466,0.0,0.0729574523623075,0.0
56,0.21702937329052205,0.0,0.0492038632210911,0.0
57,0.22670623145400592,0.0,0.04515792221352127,0.0
58,0.23162768609758994,0.0,0.07073871051944662,0.0
59,0.23708892318651312,0.0,0.09318715740015662,0.0
60,0.23742287612719506,0.0,0.10689115113547376,0.0
61,0.23421926910299004,0.0,0.13129731140694337,0.0
62,0.23243948742287612,0.0,0.1601409553641347,0.0
63,0.23988269794721406,0.0,0.1858841778697001,0.0
64,0.24727144701326134,0.0,0.1829110651499483,0.0
65,0.2479755897195165,0.0,0.1608066184074457,0.0
66,0.2443401759530792,0.0,0.13547052740434332,0.0
67,0.23988269794721406,0.0,0.10806618407445709,0.0
68,0.246689323801711,0.0,0.07368148914167529,0.0
69,0.2507910465252549,0.0,0.05829886246122027,0.0
70,0.2573538028829251,0.0,0.059493016037247805,0.0
71,0.25360365639282784,0.0,0.0798085629284698,0.0
72,0.2466315172817809,0.0,0.09412221646815122,0.0
73,0.23327475102519038,0.0,0.10229185549656869,0.0
74,0.22530755711775044,0.0,0.11551411551411551,0.0
75,0.22573839662447256,0.0,0.13493913493913495,0.0
76,0.23833528722157094,0.0,0.15104840797307792,0.0
77,0.24372801875732708,0.0,0.12732919254658384,0.0
78,0.24724501758499415,0.0,0.10830745341614907,0.0
79,0.24396248534583823,0.0,0.08398033126293995,0.0
80,0.23836323132840895,0.0,0.054865424430641824,0.0
81,0.24745383324006714,0.0,0.04033782932055969,0.0
82,0.25394515948517066,0.0,0.04008571788730619,0.0
83,0.25002797985450476,0.0,0.06775170325510976,0.0
84,0.24543928371572468,0.0,0.08806459752712592,0.0
85,0.234023503077784,0.0,0.10711582134746404,0.0
86,0.21950128592195012,0.0,0.13133989401968205,0.0
87,0.21055574192105558,0.0,0.15404996214988645,0.0
88,0.20268306316377865,0.0,0.1746151905122382,0.0
89,0.20867329831228346,0.0,0.15404996214988645,0.0
90,0.20856152900413547,0.0,0.13078572329423635,0.0
91,0.20397898737006817,0.0,0.10547564976028262,0.0
92,0.19660221303230133,0.0,0.07710752145381121,0.0
93,0.19391974963674974,0.0,0.048315882427147724,0.0
94,0.1903856903297932,0.0,0.03961145452251798,0.0
95,0.19517102615694165,0.0,0.03492623880973396,0.0
